date,srcid,destid,transactions
01-01-2023,1,2,8
01-01-2023,1,3,22
01-01-2023,2,3,5
01-01-2023,2,4,47
01-01-2023,3,4,34
01-01-2023,1,4,20
01-01-2023,2,5,28
01-01-2023,3,5,6
01-01-2023,4,5,46
01-01-2023,1,5,27
02-01-2023,1,2,9
02-01-2023,1,3,48
02-01-2023,2,3,44
02-01-2023,2,4,33
02-01-2023,3,4,13
02-01-2023,1,4,5
02-01-2023,2,5,28
02-01-2023,3,5,12
02-01-2023,4,5,37
02-01-2023,1,5,38
03-01-2023,1,2,50
03-01-2023,1,3,37
03-01-2023,2,3,12
03-01-2023,2,4,11
03-01-2023,3,4,27
03-01-2023,1,4,26
03-01-2023,2,5,22
03-01-2023,3,5,42
03-01-2023,4,5,47
03-01-2023,1,5,36
04-01-2023,1,2,33
04-01-2023,1,3,46
04-01-2023,2,3,6
04-01-2023,2,4,8
04-01-2023,3,4,34
04-01-2023,1,4,18
04-01-2023,2,5,16
04-01-2023,3,5,40
04-01-2023,4,5,30
04-01-2023,1,5,11
05-01-2023,1,2,15
05-01-2023,1,3,22
05-01-2023,2,3,22
05-01-2023,2,4,26
05-01-2023,3,4,32
05-01-2023,1,4,14
05-01-2023,2,5,45
05-01-2023,3,5,39
05-01-2023,4,5,21
05-01-2023,1,5,36
06-01-2023,1,2,44
06-01-2023,1,3,6
06-01-2023,2,3,17
06-01-2023,2,4,46
06-01-2023,3,4,15
06-01-2023,1,4,7
06-01-2023,2,5,35
06-01-2023,3,5,45
06-01-2023,4,5,48
06-01-2023,1,5,9
07-01-2023,1,2,31
07-01-2023,1,3,23
07-01-2023,2,3,17
07-01-2023,2,4,13
07-01-2023,3,4,50
07-01-2023,1,4,6
07-01-2023,2,5,16
07-01-2023,3,5,37
07-01-2023,4,5,12
07-01-2023,1,5,26
08-01-2023,1,2,14
08-01-2023,1,3,10
08-01-2023,2,3,34
08-01-2023,2,4,39
08-01-2023,3,4,37
08-01-2023,1,4,14
08-01-2023,2,5,6
08-01-2023,3,5,16
08-01-2023,4,5,37
08-01-2023,1,5,46
09-01-2023,1,2,5
09-01-2023,1,3,8
09-01-2023,2,3,41
09-01-2023,2,4,13
09-01-2023,3,4,36
09-01-2023,1,4,48
09-01-2023,2,5,30
09-01-2023,3,5,36
09-01-2023,4,5,15
09-01-2023,1,5,36
10-01-2023,1,2,46
10-01-2023,1,3,46
10-01-2023,2,3,13
10-01-2023,2,4,47
10-01-2023,3,4,39
10-01-2023,1,4,21
10-01-2023,2,5,8
10-01-2023,3,5,8
10-01-2023,4,5,22
10-01-2023,1,5,25
11-01-2023,1,2,48
11-01-2023,1,3,23
11-01-2023,2,3,15
11-01-2023,2,4,32
11-01-2023,3,4,8
11-01-2023,1,4,30
11-01-2023,2,5,26
11-01-2023,3,5,40
11-01-2023,4,5,12
11-01-2023,1,5,45
12-01-2023,1,2,19
12-01-2023,1,3,26
12-01-2023,2,3,8
12-01-2023,2,4,48
12-01-2023,3,4,47
12-01-2023,1,4,46
12-01-2023,2,5,6
12-01-2023,3,5,11
12-01-2023,4,5,17
12-01-2023,1,5,27
13-01-2023,1,2,5
13-01-2023,1,3,26
13-01-2023,2,3,34
13-01-2023,2,4,28
13-01-2023,3,4,6
13-01-2023,1,4,23
13-01-2023,2,5,17
13-01-2023,3,5,11
13-01-2023,4,5,25
13-01-2023,1,5,33
14-01-2023,1,2,50
14-01-2023,1,3,38
14-01-2023,2,3,10
14-01-2023,2,4,9
14-01-2023,3,4,36
14-01-2023,1,4,26
14-01-2023,2,5,18
14-01-2023,3,5,28
14-01-2023,4,5,36
14-01-2023,1,5,19
15-01-2023,1,2,38
15-01-2023,1,3,15
15-01-2023,2,3,35
15-01-2023,2,4,8
15-01-2023,3,4,34
15-01-2023,1,4,36
15-01-2023,2,5,49
15-01-2023,3,5,16
15-01-2023,4,5,44
15-01-2023,1,5,31
16-01-2023,1,2,29
16-01-2023,1,3,17
16-01-2023,2,3,9
16-01-2023,2,4,27
16-01-2023,3,4,21
16-01-2023,1,4,46
16-01-2023,2,5,45
16-01-2023,3,5,9
16-01-2023,4,5,31
16-01-2023,1,5,10
17-01-2023,1,2,7
17-01-2023,1,3,29
17-01-2023,2,3,25
17-01-2023,2,4,16
17-01-2023,3,4,37
17-01-2023,1,4,21
17-01-2023,2,5,41
17-01-2023,3,5,23
17-01-2023,4,5,19
17-01-2023,1,5,30
18-01-2023,1,2,46
18-01-2023,1,3,24
18-01-2023,2,3,26
18-01-2023,2,4,9
18-01-2023,3,4,23
18-01-2023,1,4,7
18-01-2023,2,5,46
18-01-2023,3,5,30
18-01-2023,4,5,39
18-01-2023,1,5,47
19-01-2023,1,2,9
19-01-2023,1,3,20
19-01-2023,2,3,45
19-01-2023,2,4,48
19-01-2023,3,4,34
19-01-2023,1,4,32
19-01-2023,2,5,10
19-01-2023,3,5,46
19-01-2023,4,5,28
19-01-2023,1,5,29
20-01-2023,1,2,37
20-01-2023,1,3,14
20-01-2023,2,3,29
20-01-2023,2,4,10
20-01-2023,3,4,5
20-01-2023,1,4,32
20-01-2023,2,5,44
20-01-2023,3,5,24
20-01-2023,4,5,27
20-01-2023,1,5,36
21-01-2023,1,2,5
21-01-2023,1,3,26
21-01-2023,2,3,50
21-01-2023,2,4,30
21-01-2023,3,4,10
21-01-2023,1,4,50
21-01-2023,2,5,43
21-01-2023,3,5,15
21-01-2023,4,5,48
21-01-2023,1,5,37
22-01-2023,1,2,41
22-01-2023,1,3,47
22-01-2023,2,3,28
22-01-2023,2,4,34
22-01-2023,3,4,20
22-01-2023,1,4,5
22-01-2023,2,5,20
22-01-2023,3,5,33
22-01-2023,4,5,5
22-01-2023,1,5,11
23-01-2023,1,2,44
23-01-2023,1,3,35
23-01-2023,2,3,14
23-01-2023,2,4,34
23-01-2023,3,4,32
23-01-2023,1,4,35
23-01-2023,2,5,9
23-01-2023,3,5,48
23-01-2023,4,5,46
23-01-2023,1,5,41
24-01-2023,1,2,25
24-01-2023,1,3,48
24-01-2023,2,3,17
24-01-2023,2,4,18
24-01-2023,3,4,20
24-01-2023,1,4,35
24-01-2023,2,5,48
24-01-2023,3,5,42
24-01-2023,4,5,23
24-01-2023,1,5,35
25-01-2023,1,2,31
25-01-2023,1,3,22
25-01-2023,2,3,29
25-01-2023,2,4,21
25-01-2023,3,4,26
25-01-2023,1,4,37
25-01-2023,2,5,32
25-01-2023,3,5,16
25-01-2023,4,5,26
25-01-2023,1,5,13
26-01-2023,1,2,11
26-01-2023,1,3,15
26-01-2023,2,3,29
26-01-2023,2,4,42
26-01-2023,3,4,13
26-01-2023,1,4,40
26-01-2023,2,5,45
26-01-2023,3,5,36
26-01-2023,4,5,7
26-01-2023,1,5,31
27-01-2023,1,2,5
27-01-2023,1,3,20
27-01-2023,2,3,10
27-01-2023,2,4,31
27-01-2023,3,4,50
27-01-2023,1,4,5
27-01-2023,2,5,17
27-01-2023,3,5,44
27-01-2023,4,5,15
27-01-2023,1,5,23
28-01-2023,1,2,37
28-01-2023,1,3,41
28-01-2023,2,3,38
28-01-2023,2,4,23
28-01-2023,3,4,21
28-01-2023,1,4,26
28-01-2023,2,5,34
28-01-2023,3,5,12
28-01-2023,4,5,25
28-01-2023,1,5,43
29-01-2023,1,2,50
29-01-2023,1,3,16
29-01-2023,2,3,31
29-01-2023,2,4,41
29-01-2023,3,4,28
29-01-2023,1,4,26
29-01-2023,2,5,39
29-01-2023,3,5,23
29-01-2023,4,5,36
29-01-2023,1,5,12
30-01-2023,1,2,34
30-01-2023,1,3,47
30-01-2023,2,3,17
30-01-2023,2,4,7
30-01-2023,3,4,42
30-01-2023,1,4,37
30-01-2023,2,5,34
30-01-2023,3,5,50
30-01-2023,4,5,8
30-01-2023,1,5,35
31-01-2023,1,2,22
31-01-2023,1,3,12
31-01-2023,2,3,22
31-01-2023,2,4,46
31-01-2023,3,4,45
31-01-2023,1,4,37
31-01-2023,2,5,17
31-01-2023,3,5,25
31-01-2023,4,5,41
31-01-2023,1,5,35
01-02-2023,1,2,44
01-02-2023,1,3,48
01-02-2023,2,3,40
01-02-2023,2,4,50
01-02-2023,3,4,8
01-02-2023,1,4,23
01-02-2023,2,5,47
01-02-2023,3,5,37
01-02-2023,4,5,20
01-02-2023,1,5,47
02-02-2023,1,2,24
02-02-2023,1,3,21
02-02-2023,2,3,19
02-02-2023,2,4,6
02-02-2023,3,4,36
02-02-2023,1,4,40
02-02-2023,2,5,17
02-02-2023,3,5,18
02-02-2023,4,5,36
02-02-2023,1,5,31
03-02-2023,1,2,30
03-02-2023,1,3,7
03-02-2023,2,3,37
03-02-2023,2,4,28
03-02-2023,3,4,6
03-02-2023,1,4,32
03-02-2023,2,5,26
03-02-2023,3,5,39
03-02-2023,4,5,25
03-02-2023,1,5,6
04-02-2023,1,2,7
04-02-2023,1,3,44
04-02-2023,2,3,33
04-02-2023,2,4,38
04-02-2023,3,4,31
04-02-2023,1,4,27
04-02-2023,2,5,32
04-02-2023,3,5,35
04-02-2023,4,5,46
04-02-2023,1,5,46
05-02-2023,1,2,11
05-02-2023,1,3,23
05-02-2023,2,3,13
05-02-2023,2,4,30
05-02-2023,3,4,23
05-02-2023,1,4,6
05-02-2023,2,5,24
05-02-2023,3,5,9
05-02-2023,4,5,28
05-02-2023,1,5,46
06-02-2023,1,2,9
06-02-2023,1,3,21
06-02-2023,2,3,24
06-02-2023,2,4,15
06-02-2023,3,4,33
06-02-2023,1,4,48
06-02-2023,2,5,18
06-02-2023,3,5,32
06-02-2023,4,5,30
06-02-2023,1,5,49
07-02-2023,1,2,20
07-02-2023,1,3,25
07-02-2023,2,3,35
07-02-2023,2,4,26
07-02-2023,3,4,37
07-02-2023,1,4,37
07-02-2023,2,5,43
07-02-2023,3,5,10
07-02-2023,4,5,20
07-02-2023,1,5,9
08-02-2023,1,2,27
08-02-2023,1,3,24
08-02-2023,2,3,49
08-02-2023,2,4,25
08-02-2023,3,4,9
08-02-2023,1,4,35
08-02-2023,2,5,49
08-02-2023,3,5,39
08-02-2023,4,5,50
08-02-2023,1,5,16
09-02-2023,1,2,17
09-02-2023,1,3,12
09-02-2023,2,3,46
09-02-2023,2,4,17
09-02-2023,3,4,10
09-02-2023,1,4,43
09-02-2023,2,5,11
09-02-2023,3,5,7
09-02-2023,4,5,49
09-02-2023,1,5,21
10-02-2023,1,2,38
10-02-2023,1,3,40
10-02-2023,2,3,33
10-02-2023,2,4,38
10-02-2023,3,4,29
10-02-2023,1,4,36
10-02-2023,2,5,19
10-02-2023,3,5,7
10-02-2023,4,5,27
10-02-2023,1,5,30
11-02-2023,1,2,43
11-02-2023,1,3,17
11-02-2023,2,3,24
11-02-2023,2,4,38
11-02-2023,3,4,11
11-02-2023,1,4,29
11-02-2023,2,5,44
11-02-2023,3,5,22
11-02-2023,4,5,12
11-02-2023,1,5,12
12-02-2023,1,2,38
12-02-2023,1,3,30
12-02-2023,2,3,23
12-02-2023,2,4,18
12-02-2023,3,4,29
12-02-2023,1,4,28
12-02-2023,2,5,39
12-02-2023,3,5,46
12-02-2023,4,5,27
12-02-2023,1,5,24
13-02-2023,1,2,18
13-02-2023,1,3,31
13-02-2023,2,3,42
13-02-2023,2,4,20
13-02-2023,3,4,37
13-02-2023,1,4,50
13-02-2023,2,5,13
13-02-2023,3,5,10
13-02-2023,4,5,25
13-02-2023,1,5,7
14-02-2023,1,2,31
14-02-2023,1,3,47
14-02-2023,2,3,16
14-02-2023,2,4,15
14-02-2023,3,4,8
14-02-2023,1,4,48
14-02-2023,2,5,44
14-02-2023,3,5,24
14-02-2023,4,5,16
14-02-2023,1,5,36
15-02-2023,1,2,16
15-02-2023,1,3,20
15-02-2023,2,3,22
15-02-2023,2,4,14
15-02-2023,3,4,19
15-02-2023,1,4,14
15-02-2023,2,5,20
15-02-2023,3,5,46
15-02-2023,4,5,45
15-02-2023,1,5,7
16-02-2023,1,2,44
16-02-2023,1,3,20
16-02-2023,2,3,38
16-02-2023,2,4,13
16-02-2023,3,4,45
16-02-2023,1,4,35
16-02-2023,2,5,45
16-02-2023,3,5,28
16-02-2023,4,5,25
16-02-2023,1,5,5
