date,srcid,destid,transactions
01-01-2023,1,2,37
01-01-2023,1,3,29
01-01-2023,2,3,48
01-01-2023,2,4,41
01-01-2023,3,4,35
02-01-2023,1,2,6
02-01-2023,1,3,15
02-01-2023,2,3,31
02-01-2023,2,4,14
02-01-2023,3,4,30
03-01-2023,1,2,45
03-01-2023,1,3,26
03-01-2023,2,3,12
03-01-2023,2,4,45
03-01-2023,3,4,33
04-01-2023,1,2,37
04-01-2023,1,3,25
04-01-2023,2,3,21
04-01-2023,2,4,50
04-01-2023,3,4,13
05-01-2023,1,2,40
05-01-2023,1,3,38
05-01-2023,2,3,31
05-01-2023,2,4,17
05-01-2023,3,4,41
06-01-2023,1,2,29
06-01-2023,1,3,16
06-01-2023,2,3,15
06-01-2023,2,4,29
06-01-2023,3,4,31
07-01-2023,1,2,49
07-01-2023,1,3,17
07-01-2023,2,3,30
07-01-2023,2,4,10
07-01-2023,3,4,49
08-01-2023,1,2,7
08-01-2023,1,3,16
08-01-2023,2,3,40
08-01-2023,2,4,41
08-01-2023,3,4,23
09-01-2023,1,2,45
09-01-2023,1,3,30
09-01-2023,2,3,27
09-01-2023,2,4,5
09-01-2023,3,4,24
10-01-2023,1,2,8
10-01-2023,1,3,39
10-01-2023,2,3,39
10-01-2023,2,4,24
10-01-2023,3,4,10
11-01-2023,1,2,41
11-01-2023,1,3,9
11-01-2023,2,3,34
11-01-2023,2,4,35
11-01-2023,3,4,28
12-01-2023,1,2,19
12-01-2023,1,3,38
12-01-2023,2,3,50
12-01-2023,2,4,5
12-01-2023,3,4,28
13-01-2023,1,2,41
13-01-2023,1,3,28
13-01-2023,2,3,40
13-01-2023,2,4,49
13-01-2023,3,4,47
14-01-2023,1,2,26
14-01-2023,1,3,45
14-01-2023,2,3,6
14-01-2023,2,4,24
14-01-2023,3,4,19
15-01-2023,1,2,17
15-01-2023,1,3,40
15-01-2023,2,3,25
15-01-2023,2,4,15
15-01-2023,3,4,12
16-01-2023,1,2,45
16-01-2023,1,3,50
16-01-2023,2,3,10
16-01-2023,2,4,26
16-01-2023,3,4,41
17-01-2023,1,2,8
17-01-2023,1,3,46
17-01-2023,2,3,5
17-01-2023,2,4,34
17-01-2023,3,4,37
18-01-2023,1,2,13
18-01-2023,1,3,39
18-01-2023,2,3,20
18-01-2023,2,4,27
18-01-2023,3,4,49
19-01-2023,1,2,25
